('9177818662', '+777818662', 'RU', 'RU')
('9996418556', '+79996418556', 'RU', 'RU')
('4110445871', '+710445871', 'RU', 'RU')
('7292279704', '+7292279704', 'KZ', 'KZ')
('9006397551', '+706397551', 'RU', 'RU')
('9844049414', '+744049414', 'RU', 'RU')
('9180337282', '+780337282', 'RU', 'RU')
('9432942965', '+732942965', 'RU', 'RU')
('9815911454', '+715911454', 'RU', 'RU')
('8040890901', '+78040890901', 'RU', 'RU')
('9586744959', '+786744959', 'RU', 'RU')
('7004659447', '+7004659447', 'KZ', 'KZ')
('9064264858', '+764264858', 'RU', 'RU')
('7635336168', '+7635336168', 'KZ', 'KZ')
('8483316843', '+783316843', 'RU', 'RU')
('8318410057', '+78318410057', 'RU', 'RU')
('7478688153', '+7478688153', 'KZ', 'KZ')
('8478373915', '+778373915', 'RU', 'RU')
('8033091224', '+78033091224', 'RU', 'RU')
('8131762141', '+731762141', 'RU', 'RU')
('9944720313', '+74720313', 'RU', 'RU')
('4856875579', '+756875579', 'RU', 'RU')
('4273208908', '+74273208908', 'RU', 'RU')
('9491217644', '+791217644', 'RU', 'RU')
('8674888521', '+774888521', 'RU', 'RU')
('9805428016', '+705428016', 'RU', 'RU')
('9840032727', '+740032727', 'RU', 'RU')
('88697283768', '+797283768', 'RU', 'RU')
('39348012134', '+39348012134', 'IT', 'IT')
('9470513203', '+770513203', 'RU', 'RU')
('+62-815912315', '+62815912315', 'ID', 'ID')
('+35840736082', '+35840736082', 'FI', 'FI')
('8317797081', '+78317797081', 'RU', 'RU')
('9208577293', '+708577293', 'RU', 'RU')
('43676544625', '+43676544625', 'AT', 'AT')
('9162467691', '+762467691', 'RU', 'RU')
('9056568819', '+756568819', 'RU', 'RU')
('9281751251', '+781751251', 'RU', 'RU')
('4163249131', '+763249131', 'RU', 'RU')
('+27 82 056 211', '+2782056211', 'ZA', 'ZA')
('4833468615', '+733468615', 'RU', 'RU')
('3523512355', '+73512355', 'RU', 'RU')
('4945385340', '+74538534', 'RU', 'RU')
('9785946108', '+79785946108', 'RU', 'RU')
